AccessibilityID,DestinationID,WheelchairAccessible,ElderlySafe,ChildFriendly,ParkingAvailable,PublicTransport,MedicalFacilitiesNearby,AccessibilityRating
1,1,False,True,False,True,False,False,2.3
2,2,False,True,False,False,False,True,3.9
3,3,True,False,True,False,True,True,4.1
4,4,True,True,True,True,False,False,2.3
5,5,False,False,True,True,True,False,2.5
6,6,True,True,False,True,True,False,3.9
7,7,True,True,True,False,True,False,4.9
8,8,True,False,False,True,False,False,2.4
9,9,False,False,True,False,False,False,4.7
10,10,False,False,True,False,False,False,3.3
11,11,True,False,True,True,True,False,4.3
12,12,True,True,True,True,True,True,3.4
13,13,False,False,True,False,True,False,2.4
14,14,True,False,False,False,False,False,4.8
15,15,True,True,True,True,False,True,2.3
16,16,False,False,False,False,False,False,2.8
17,17,False,False,True,False,True,False,2.1
18,18,False,False,True,False,False,True,3.3
19,19,True,True,False,True,False,False,4.4
20,20,True,False,False,True,False,True,4.2
21,21,True,True,True,False,True,False,2.3
22,22,False,True,False,False,True,False,4.9
23,23,False,False,True,False,True,False,3.7
24,24,False,True,False,True,False,True,3.3
25,25,True,True,False,False,True,True,2.4
26,26,True,True,True,False,True,True,4.1
27,27,False,True,False,False,True,True,3.9
28,28,True,True,False,True,True,True,2.4
29,29,True,True,False,False,True,True,2.4
30,30,False,True,True,True,True,True,3.4
31,31,True,True,True,True,False,False,3.2
32,32,False,True,True,False,False,True,2.5
33,33,False,True,True,False,True,False,4.0
34,34,True,False,False,True,False,False,4.0
35,35,True,True,False,False,False,False,3.8
36,36,True,False,False,True,False,False,3.5
37,37,True,True,True,False,False,False,3.6
38,38,True,False,True,False,False,False,3.8
39,39,False,False,False,False,True,True,4.4
40,40,True,True,False,False,True,True,3.5
41,41,False,False,True,True,False,True,3.6
42,42,False,False,False,True,False,False,4.3
43,43,False,True,False,False,True,False,2.5
44,44,True,False,False,False,False,True,4.9
45,45,False,True,False,False,True,True,4.4
46,46,True,False,True,False,True,False,4.3
47,47,False,True,False,True,True,False,3.8
48,48,False,True,True,False,False,False,3.5
49,49,True,True,False,False,False,True,3.2
50,50,False,True,True,True,True,False,4.8
51,51,True,False,False,True,True,True,3.9
52,52,False,True,True,False,True,True,3.7
53,53,True,False,True,False,False,False,4.3
54,54,False,False,False,False,False,False,3.9
55,55,True,True,False,True,False,True,4.0
56,56,True,False,True,False,True,True,3.9
57,57,False,False,False,True,False,False,3.0
58,58,False,False,True,False,False,True,3.8
59,59,True,True,True,False,True,False,4.9
60,60,True,False,True,True,True,True,4.8
61,61,False,True,True,True,True,True,3.6
62,62,False,False,True,True,True,False,2.3
63,63,True,False,False,False,True,True,3.4
64,64,True,True,False,True,False,True,4.6
65,65,True,True,True,True,False,False,4.9
66,66,False,True,False,True,True,False,2.5
67,67,False,False,False,False,False,False,4.5
68,68,True,False,False,False,True,False,3.7
69,69,False,False,False,False,True,False,3.3
70,70,True,False,True,True,False,True,3.8
71,71,False,True,True,True,False,False,2.4
72,72,False,True,False,False,True,True,3.1
73,73,False,False,True,False,True,False,4.1
74,74,False,False,False,False,True,False,3.1
75,75,True,True,True,False,True,True,2.1
76,76,True,True,True,True,False,True,4.7
77,77,True,True,False,True,False,True,3.0
78,78,False,False,True,False,False,True,2.3
79,79,True,False,False,False,True,True,2.4
80,80,False,False,True,True,True,True,4.1
81,81,False,True,True,True,True,True,2.4
82,82,True,False,True,True,True,False,4.1
83,83,True,False,False,False,True,True,3.5
84,84,True,True,True,True,False,True,4.8
85,85,True,False,False,True,True,False,3.3
86,86,True,True,False,True,False,True,4.6
87,87,False,True,True,False,True,False,2.5
88,88,False,True,True,True,True,False,4.8
89,89,True,True,True,False,True,True,4.3
90,90,False,True,False,False,False,True,4.2
91,91,True,False,False,True,True,True,3.6
92,92,True,True,False,True,True,False,2.1
93,93,False,True,False,True,False,True,3.6
94,94,False,False,True,True,False,False,4.0
95,95,True,True,True,True,True,True,2.1
96,96,False,True,True,True,True,False,2.8
97,97,True,True,True,False,False,True,2.7
98,98,True,False,False,False,False,False,3.7
99,99,True,True,True,False,True,False,4.6
100,100,True,True,False,True,False,True,2.7
