DestinationID,Name,Province,Type,Popularity,BestTimeToVisit,Latitude,Longitude
1,Badshahi Mosque,Punjab,Historical,9.2,Oct-Mar,31.5882,74.3103
2,Minar-e-Pakistan,Punjab,Historical,8.5,Oct-Mar,31.5925,74.3095
3,Shalimar Gardens,Punjab,Historical,8.0,Oct-Mar,31.5872,74.382
4,Mazar-e-Quaid,Sindh,Historical,9.0,Oct-May,24.8745,67.0396
5,Mohatta Palace,Sindh,Historical,8.2,Oct-May,24.8143,67.033
6,Churna Island,Sindh,Adventure,8.8,Nov-Feb,24.8967,66.6067
7,Faisal Mosque,Islamabad,Historical,9.5,Mar-Nov,33.7297,73.0372
8,Daman-e-Koh,Islamabad,Nature,8.7,Mar-Nov,33.7431,73.0569
9,Shah Rukne Alam,Punjab,Historical,8.9,Oct-Mar,30.2014,71.4789
10,Tomb of Bahauddin Zakariya,Punjab,Historical,8.4,Oct-Mar,30.2016,71.4776
11,Clock Tower Faisalabad,Punjab,Historical,7.5,Oct-Mar,31.4187,73.0791
12,Qissa Khwani Bazaar,Khyber Pakhtunkhwa,Historical,8.1,Oct-Apr,34.0097,71.5725
13,Bala Hissar Fort,Khyber Pakhtunkhwa,Historical,8.3,Oct-Apr,34.0121,71.5746
14,Malam Jabba,Khyber Pakhtunkhwa,Adventure,9.1,Dec-Mar,34.7997,72.57
15,Kalam Valley,Khyber Pakhtunkhwa,Nature,9.4,May-Sep,35.485,72.585
16,Lake Saif-ul-Malook,Khyber Pakhtunkhwa,Nature,9.7,Jun-Sep,34.877,73.693
17,Kumrat Valley,Khyber Pakhtunkhwa,Nature,9.3,Jun-Sep,35.5333,72.2167
18,Hanna Lake,Balochistan,Nature,8.0,Apr-Oct,30.2464,67.1008
19,Hammerhead Gwadar,Balochistan,Nature,8.6,Nov-Mar,25.1114,62.3361
20,Quaid-e-Azam Residency,Balochistan,Historical,8.8,May-Sep,30.4811,67.7258
21,Hingol National Park,Balochistan,Nature,8.5,Nov-Feb,25.6833,65.5167
22,Baltit Fort,Gilgit-Baltistan,Historical,9.0,May-Oct,36.3314,74.6719
23,Attabad Lake,Gilgit-Baltistan,Nature,9.2,May-Sep,36.3333,74.8667
