DetailID,ItineraryID,DayNumber,DestinationID,ActivityID,AccommodationID,Notes,CostBreakdown
1,1,1,95,37,58,Day 1 itinerary details,29055
2,1,2,83,23,35,Day 2 itinerary details,8646
3,1,3,6,6,30,Day 3 itinerary details,34952
4,1,4,63,8,28,Day 4 itinerary details,37600
5,1,5,33,53,38,Day 5 itinerary details,48315
6,1,6,78,11,2,Day 6 itinerary details,46012
7,1,7,94,94,68,Day 7 itinerary details,13652
8,1,8,7,67,9,Day 8 itinerary details,25414
9,1,9,11,37,14,Day 9 itinerary details,32898
10,2,1,7,59,63,Day 1 itinerary details,35982
11,2,2,55,3,67,Day 2 itinerary details,44441
12,2,3,45,97,92,Day 3 itinerary details,14379
13,2,4,16,79,29,Day 4 itinerary details,32568
14,2,5,46,83,29,Day 5 itinerary details,20468
15,2,6,50,55,27,Day 6 itinerary details,12046
16,2,7,91,83,81,Day 7 itinerary details,45452
17,3,1,66,56,12,Day 1 itinerary details,46129
18,3,2,75,10,28,Day 2 itinerary details,35093
19,3,3,77,69,61,Day 3 itinerary details,7610
20,3,4,42,8,50,Day 4 itinerary details,40456
21,3,5,69,11,48,Day 5 itinerary details,36334
22,3,6,47,93,25,Day 6 itinerary details,11511
23,3,7,6,11,17,Day 7 itinerary details,24727
24,3,8,56,66,36,Day 8 itinerary details,24794
25,3,9,38,85,75,Day 9 itinerary details,40583
26,3,10,3,98,18,Day 10 itinerary details,6742
27,4,1,89,54,79,Day 1 itinerary details,19685
28,4,2,17,82,95,Day 2 itinerary details,13554
29,4,3,82,99,13,Day 3 itinerary details,26310
30,4,4,14,59,36,Day 4 itinerary details,8864
31,4,5,44,39,12,Day 5 itinerary details,12271
32,4,6,61,62,53,Day 6 itinerary details,36131
33,4,7,35,65,3,Day 7 itinerary details,6834
34,4,8,50,71,9,Day 8 itinerary details,7353
35,4,9,55,12,83,Day 9 itinerary details,16295
36,4,10,24,86,67,Day 10 itinerary details,27247
37,4,11,27,61,19,Day 11 itinerary details,27522
38,4,12,51,64,77,Day 12 itinerary details,28425
39,4,13,36,93,11,Day 13 itinerary details,41833
40,5,1,68,68,64,Day 1 itinerary details,22408
41,5,2,89,26,11,Day 2 itinerary details,40794
42,5,3,93,40,4,Day 3 itinerary details,43392
43,5,4,80,37,61,Day 4 itinerary details,21602
44,6,1,5,15,87,Day 1 itinerary details,28536
45,6,2,67,82,26,Day 2 itinerary details,22195
46,7,1,58,81,46,Day 1 itinerary details,42289
47,7,2,48,27,20,Day 2 itinerary details,41805
48,7,3,35,76,48,Day 3 itinerary details,17226
49,7,4,68,52,68,Day 4 itinerary details,14859
50,7,5,39,21,66,Day 5 itinerary details,18199
51,7,6,7,83,97,Day 6 itinerary details,46736
52,7,7,17,91,97,Day 7 itinerary details,15891
53,7,8,57,45,11,Day 8 itinerary details,35604
54,8,1,31,77,26,Day 1 itinerary details,28710
55,8,2,22,6,20,Day 2 itinerary details,45916
56,8,3,10,83,35,Day 3 itinerary details,33230
57,8,4,37,8,5,Day 4 itinerary details,14131
58,8,5,100,92,67,Day 5 itinerary details,10094
59,8,6,72,79,91,Day 6 itinerary details,12472
60,8,7,36,80,26,Day 7 itinerary details,32948
61,9,1,61,44,4,Day 1 itinerary details,28115
62,9,2,81,58,26,Day 2 itinerary details,7017
63,9,3,29,9,78,Day 3 itinerary details,28075
64,10,1,4,59,37,Day 1 itinerary details,45059
65,10,2,88,81,13,Day 2 itinerary details,6939
66,10,3,17,51,91,Day 3 itinerary details,20926
67,10,4,33,21,81,Day 4 itinerary details,44573
68,10,5,25,67,91,Day 5 itinerary details,16994
69,10,6,12,15,84,Day 6 itinerary details,16093
70,11,1,2,4,45,Day 1 itinerary details,29844
71,11,2,55,32,22,Day 2 itinerary details,44768
72,11,3,91,55,17,Day 3 itinerary details,43853
73,11,4,51,80,8,Day 4 itinerary details,7400
74,11,5,10,98,19,Day 5 itinerary details,28935
75,11,6,14,67,55,Day 6 itinerary details,45508
76,11,7,56,63,87,Day 7 itinerary details,34543
77,11,8,11,47,6,Day 8 itinerary details,32328
78,11,9,99,89,64,Day 9 itinerary details,12644
79,12,1,87,82,78,Day 1 itinerary details,19416
80,12,2,66,31,83,Day 2 itinerary details,15429
81,12,3,54,92,8,Day 3 itinerary details,41008
82,12,4,59,40,22,Day 4 itinerary details,48671
83,12,5,38,2,41,Day 5 itinerary details,23408
84,12,6,19,2,92,Day 6 itinerary details,48871
85,12,7,62,83,16,Day 7 itinerary details,33821
86,12,8,14,56,65,Day 8 itinerary details,14644
87,12,9,54,66,86,Day 9 itinerary details,16263
88,12,10,33,79,50,Day 10 itinerary details,39152
89,12,11,22,40,39,Day 11 itinerary details,5872
90,12,12,41,75,68,Day 12 itinerary details,22414
91,13,1,85,71,4,Day 1 itinerary details,44673
92,13,2,91,59,81,Day 2 itinerary details,8667
93,13,3,95,26,31,Day 3 itinerary details,9808
94,13,4,69,52,72,Day 4 itinerary details,14138
95,13,5,16,18,47,Day 5 itinerary details,32447
96,13,6,28,82,78,Day 6 itinerary details,42303
97,13,7,37,16,85,Day 7 itinerary details,14408
98,13,8,60,61,11,Day 8 itinerary details,17413
