PricingID,DestinationID,Season,Month,BaseCost,DynamicMultiplier,CurrencyCode,LastUpdated
1,1,High,1,18371,1.08,PKR,2026-05-12
2,1,Low,2,34252,0.96,PKR,2026-05-12
3,1,Medium,3,35870,0.87,PKR,2026-05-12
4,1,High,4,34016,1.29,PKR,2026-05-12
5,1,Low,5,25673,1.49,PKR,2026-05-12
6,1,Low,6,37742,0.83,PKR,2026-05-12
7,1,Medium,7,20860,0.95,PKR,2026-05-12
8,1,High,8,5969,1.15,PKR,2026-05-12
9,1,Medium,9,14524,0.9,PKR,2026-05-12
10,1,Low,10,22165,1.26,PKR,2026-05-12
11,1,Low,11,42106,1.14,PKR,2026-05-12
12,1,High,12,32392,0.92,PKR,2026-05-12
13,2,Low,1,21189,1.49,PKR,2026-05-12
14,2,Medium,2,21915,1.24,PKR,2026-05-12
15,2,Medium,3,38058,1.05,PKR,2026-05-12
16,2,High,4,48435,1.49,PKR,2026-05-12
17,2,Low,5,39407,1.05,PKR,2026-05-12
18,2,Medium,6,24021,1.0,PKR,2026-05-12
19,2,High,7,21620,1.15,PKR,2026-05-12
20,2,Medium,8,39972,1.45,PKR,2026-05-12
21,2,High,9,49055,0.86,PKR,2026-05-12
22,2,High,10,28094,1.33,PKR,2026-05-12
23,2,Medium,11,25808,1.31,PKR,2026-05-12
24,2,Low,12,9110,1.41,PKR,2026-05-12
25,3,Medium,1,47843,1.13,PKR,2026-05-12
26,3,Low,2,35366,1.25,PKR,2026-05-12
27,3,Low,3,5168,0.86,PKR,2026-05-12
28,3,Low,4,24592,0.83,PKR,2026-05-12
29,3,Low,5,24893,1.23,PKR,2026-05-12
30,3,Medium,6,33002,1.18,PKR,2026-05-12
31,3,Medium,7,40280,1.13,PKR,2026-05-12
32,3,High,8,44446,1.05,PKR,2026-05-12
33,3,High,9,21813,1.12,PKR,2026-05-12
34,3,Medium,10,33924,1.13,PKR,2026-05-12
35,3,Medium,11,9632,1.34,PKR,2026-05-12
36,3,Low,12,24047,0.89,PKR,2026-05-12
37,4,Low,1,27319,1.11,PKR,2026-05-12
38,4,Low,2,41634,1.1,PKR,2026-05-12
39,4,High,3,38445,0.97,PKR,2026-05-12
40,4,Medium,4,45000,1.27,PKR,2026-05-12
41,4,Low,5,6720,0.85,PKR,2026-05-12
42,4,Low,6,38702,1.04,PKR,2026-05-12
43,4,Medium,7,46185,1.29,PKR,2026-05-12
44,4,High,8,10074,1.43,PKR,2026-05-12
45,4,Medium,9,28456,1.41,PKR,2026-05-12
46,4,Medium,10,13471,1.41,PKR,2026-05-12
47,4,Medium,11,23748,1.14,PKR,2026-05-12
48,4,Low,12,42594,1.47,PKR,2026-05-12
49,5,Medium,1,34108,0.97,PKR,2026-05-12
50,5,Medium,2,30058,1.49,PKR,2026-05-12
51,5,Low,3,5016,1.15,PKR,2026-05-12
52,5,High,4,15905,1.16,PKR,2026-05-12
53,5,High,5,47771,1.46,PKR,2026-05-12
54,5,Low,6,11230,0.94,PKR,2026-05-12
55,5,Low,7,41045,0.93,PKR,2026-05-12
56,5,High,8,45071,0.99,PKR,2026-05-12
57,5,Low,9,7475,0.83,PKR,2026-05-12
58,5,High,10,42848,0.91,PKR,2026-05-12
59,5,High,11,33489,1.01,PKR,2026-05-12
60,5,Medium,12,45882,0.84,PKR,2026-05-12
61,6,Medium,1,9923,1.49,PKR,2026-05-12
62,6,High,2,48902,0.86,PKR,2026-05-12
63,6,Low,3,28305,1.39,PKR,2026-05-12
64,6,Medium,4,22490,1.12,PKR,2026-05-12
65,6,Medium,5,30312,0.96,PKR,2026-05-12
66,6,Low,6,41376,0.93,PKR,2026-05-12
67,6,Medium,7,5293,0.81,PKR,2026-05-12
68,6,Low,8,32515,1.2,PKR,2026-05-12
69,6,Low,9,28457,0.83,PKR,2026-05-12
70,6,Medium,10,5879,1.43,PKR,2026-05-12
71,6,Low,11,43468,0.81,PKR,2026-05-12
72,6,High,12,48271,1.0,PKR,2026-05-12
73,7,Low,1,27334,1.35,PKR,2026-05-12
74,7,High,2,15694,1.19,PKR,2026-05-12
75,7,High,3,20200,1.25,PKR,2026-05-12
76,7,Medium,4,29949,0.8,PKR,2026-05-12
77,7,Low,5,21495,1.31,PKR,2026-05-12
78,7,Medium,6,35868,1.21,PKR,2026-05-12
79,7,Low,7,28965,1.1,PKR,2026-05-12
80,7,Medium,8,43724,1.42,PKR,2026-05-12
81,7,High,9,7572,1.04,PKR,2026-05-12
82,7,Medium,10,27292,0.82,PKR,2026-05-12
83,7,Medium,11,31828,1.17,PKR,2026-05-12
84,7,Low,12,22506,1.39,PKR,2026-05-12
85,8,High,1,30793,1.25,PKR,2026-05-12
86,8,High,2,40657,0.96,PKR,2026-05-12
87,8,Medium,3,44907,1.0,PKR,2026-05-12
88,8,Medium,4,45849,0.84,PKR,2026-05-12
89,8,High,5,38239,1.05,PKR,2026-05-12
90,8,Low,6,40948,1.24,PKR,2026-05-12
91,8,Low,7,21482,0.93,PKR,2026-05-12
92,8,Medium,8,42347,0.91,PKR,2026-05-12
93,8,Medium,9,17497,1.04,PKR,2026-05-12
94,8,Medium,10,29491,1.1,PKR,2026-05-12
95,8,High,11,20719,1.1,PKR,2026-05-12
96,8,Medium,12,48743,1.02,PKR,2026-05-12
97,9,Medium,1,42739,1.26,PKR,2026-05-12
98,9,High,2,7601,1.28,PKR,2026-05-12
99,9,Low,3,38375,0.85,PKR,2026-05-12
100,9,Medium,4,12866,1.22,PKR,2026-05-12
101,9,High,5,10570,1.16,PKR,2026-05-12
102,9,Low,6,48538,1.29,PKR,2026-05-12
103,9,High,7,36760,1.39,PKR,2026-05-12
104,9,Low,8,32807,1.02,PKR,2026-05-12
105,9,Low,9,7260,1.2,PKR,2026-05-12
106,9,Medium,10,10478,0.96,PKR,2026-05-12
107,9,Medium,11,20695,1.31,PKR,2026-05-12
108,9,High,12,37475,1.02,PKR,2026-05-12
109,10,Medium,1,48402,1.27,PKR,2026-05-12
110,10,Low,2,47721,0.85,PKR,2026-05-12
111,10,Low,3,42696,1.17,PKR,2026-05-12
112,10,High,4,10934,1.09,PKR,2026-05-12
113,10,High,5,42323,1.3,PKR,2026-05-12
114,10,Low,6,26652,1.13,PKR,2026-05-12
115,10,Medium,7,39218,1.26,PKR,2026-05-12
116,10,Low,8,31448,1.46,PKR,2026-05-12
117,10,Low,9,7191,1.5,PKR,2026-05-12
118,10,Low,10,48497,1.5,PKR,2026-05-12
119,10,High,11,26208,0.85,PKR,2026-05-12
120,10,Low,12,38492,0.87,PKR,2026-05-12
121,11,High,1,39830,0.9,PKR,2026-05-12
122,11,High,2,44352,1.2,PKR,2026-05-12
123,11,High,3,17264,1.49,PKR,2026-05-12
124,11,High,4,19291,0.81,PKR,2026-05-12
125,11,Medium,5,10290,1.04,PKR,2026-05-12
126,11,Medium,6,6819,1.0,PKR,2026-05-12
127,11,Low,7,31783,1.26,PKR,2026-05-12
128,11,Low,8,23711,0.84,PKR,2026-05-12
129,11,Medium,9,41421,1.04,PKR,2026-05-12
130,11,High,10,9259,1.11,PKR,2026-05-12
131,11,High,11,11337,0.88,PKR,2026-05-12
132,11,Low,12,36544,0.99,PKR,2026-05-12
133,12,High,1,44020,1.13,PKR,2026-05-12
134,12,High,2,46088,0.84,PKR,2026-05-12
135,12,High,3,40720,1.32,PKR,2026-05-12
136,12,High,4,14782,1.11,PKR,2026-05-12
137,12,Low,5,27316,1.06,PKR,2026-05-12
138,12,Low,6,11044,1.05,PKR,2026-05-12
139,12,Low,7,10188,1.49,PKR,2026-05-12
140,12,Medium,8,33919,1.13,PKR,2026-05-12
141,12,Medium,9,18686,0.82,PKR,2026-05-12
142,12,High,10,38647,1.25,PKR,2026-05-12
143,12,Low,11,43065,0.88,PKR,2026-05-12
144,12,Medium,12,21656,1.28,PKR,2026-05-12
145,13,Low,1,22990,0.9,PKR,2026-05-12
146,13,Low,2,32427,1.17,PKR,2026-05-12
147,13,High,3,28594,1.11,PKR,2026-05-12
148,13,High,4,23113,1.16,PKR,2026-05-12
149,13,High,5,7894,1.49,PKR,2026-05-12
150,13,Low,6,39729,1.04,PKR,2026-05-12
151,13,Low,7,42630,1.14,PKR,2026-05-12
152,13,Medium,8,47970,1.09,PKR,2026-05-12
153,13,High,9,45477,1.28,PKR,2026-05-12
154,13,High,10,44332,1.47,PKR,2026-05-12
155,13,Low,11,40431,1.28,PKR,2026-05-12
156,13,High,12,21712,1.01,PKR,2026-05-12
157,14,High,1,15397,0.87,PKR,2026-05-12
158,14,Medium,2,10600,1.36,PKR,2026-05-12
159,14,Low,3,20024,1.13,PKR,2026-05-12
160,14,Medium,4,45876,1.11,PKR,2026-05-12
161,14,Low,5,48164,1.01,PKR,2026-05-12
162,14,Low,6,34047,1.03,PKR,2026-05-12
163,14,High,7,8910,1.0,PKR,2026-05-12
164,14,High,8,41568,1.11,PKR,2026-05-12
165,14,High,9,37298,1.39,PKR,2026-05-12
166,14,High,10,24700,0.96,PKR,2026-05-12
167,14,Medium,11,42705,1.01,PKR,2026-05-12
168,14,Low,12,17052,0.98,PKR,2026-05-12
169,15,High,1,13172,1.37,PKR,2026-05-12
170,15,Low,2,44991,1.13,PKR,2026-05-12
171,15,Low,3,36726,1.05,PKR,2026-05-12
172,15,Low,4,22358,0.88,PKR,2026-05-12
173,15,Medium,5,44886,1.27,PKR,2026-05-12
174,15,Medium,6,42573,1.08,PKR,2026-05-12
175,15,Low,7,20308,0.92,PKR,2026-05-12
176,15,Low,8,20560,1.11,PKR,2026-05-12
177,15,Low,9,13773,1.3,PKR,2026-05-12
178,15,High,10,21114,1.11,PKR,2026-05-12
179,15,High,11,40150,1.2,PKR,2026-05-12
180,15,Low,12,21614,1.38,PKR,2026-05-12
181,16,High,1,15103,1.12,PKR,2026-05-12
182,16,Low,2,15147,1.26,PKR,2026-05-12
183,16,High,3,39136,1.44,PKR,2026-05-12
184,16,High,4,19775,0.82,PKR,2026-05-12
185,16,Low,5,25432,1.2,PKR,2026-05-12
186,16,Medium,6,20381,0.96,PKR,2026-05-12
187,16,Low,7,16876,1.12,PKR,2026-05-12
188,16,Low,8,23468,1.17,PKR,2026-05-12
189,16,High,9,35467,0.95,PKR,2026-05-12
190,16,High,10,5918,1.13,PKR,2026-05-12
191,16,Low,11,26965,1.36,PKR,2026-05-12
192,16,High,12,29007,1.32,PKR,2026-05-12
193,17,High,1,36194,0.9,PKR,2026-05-12
194,17,Low,2,38200,1.44,PKR,2026-05-12
195,17,High,3,17720,1.3,PKR,2026-05-12
196,17,Medium,4,46973,1.18,PKR,2026-05-12
197,17,High,5,42616,1.16,PKR,2026-05-12
198,17,Medium,6,9985,1.25,PKR,2026-05-12
199,17,High,7,17964,0.92,PKR,2026-05-12
200,17,Low,8,27905,1.12,PKR,2026-05-12
201,17,Medium,9,48895,1.3,PKR,2026-05-12
202,17,Medium,10,28012,1.36,PKR,2026-05-12
203,17,Medium,11,49678,1.24,PKR,2026-05-12
204,17,Low,12,45571,0.88,PKR,2026-05-12
205,18,High,1,10060,1.31,PKR,2026-05-12
206,18,High,2,15065,0.83,PKR,2026-05-12
207,18,High,3,27871,1.18,PKR,2026-05-12
208,18,Medium,4,23405,1.18,PKR,2026-05-12
209,18,Medium,5,49354,0.92,PKR,2026-05-12
210,18,Low,6,40014,1.14,PKR,2026-05-12
211,18,High,7,39467,1.5,PKR,2026-05-12
212,18,High,8,24475,1.09,PKR,2026-05-12
213,18,Medium,9,45288,1.07,PKR,2026-05-12
214,18,Low,10,13406,1.48,PKR,2026-05-12
215,18,Medium,11,35303,1.11,PKR,2026-05-12
216,18,Medium,12,21312,0.92,PKR,2026-05-12
217,19,Low,1,44811,1.39,PKR,2026-05-12
218,19,Medium,2,22867,1.26,PKR,2026-05-12
219,19,Medium,3,28697,1.25,PKR,2026-05-12
220,19,Medium,4,14688,1.25,PKR,2026-05-12
221,19,High,5,27943,1.39,PKR,2026-05-12
222,19,High,6,47576,1.41,PKR,2026-05-12
223,19,High,7,30563,0.82,PKR,2026-05-12
224,19,High,8,10901,0.85,PKR,2026-05-12
225,19,High,9,41417,1.29,PKR,2026-05-12
226,19,Medium,10,40697,1.24,PKR,2026-05-12
227,19,High,11,5654,1.01,PKR,2026-05-12
228,19,Low,12,47656,0.93,PKR,2026-05-12
229,20,Medium,1,32287,1.0,PKR,2026-05-12
230,20,High,2,33130,1.29,PKR,2026-05-12
231,20,Medium,3,28720,1.43,PKR,2026-05-12
232,20,Low,4,47096,1.05,PKR,2026-05-12
233,20,Medium,5,39428,1.02,PKR,2026-05-12
234,20,High,6,9512,1.25,PKR,2026-05-12
235,20,Medium,7,16752,1.34,PKR,2026-05-12
236,20,Medium,8,19071,1.39,PKR,2026-05-12
237,20,Low,9,46354,0.99,PKR,2026-05-12
238,20,High,10,41095,1.43,PKR,2026-05-12
239,20,Low,11,18431,1.16,PKR,2026-05-12
240,20,Low,12,38014,1.42,PKR,2026-05-12
241,21,High,1,36064,1.15,PKR,2026-05-12
242,21,Low,2,7434,1.3,PKR,2026-05-12
243,21,Low,3,26477,0.98,PKR,2026-05-12
244,21,Medium,4,42994,1.22,PKR,2026-05-12
245,21,Low,5,33107,1.25,PKR,2026-05-12
246,21,Low,6,46568,1.07,PKR,2026-05-12
247,21,Medium,7,19077,0.8,PKR,2026-05-12
248,21,Medium,8,10060,1.24,PKR,2026-05-12
249,21,Medium,9,15662,1.28,PKR,2026-05-12
250,21,Medium,10,8490,1.12,PKR,2026-05-12
251,21,Medium,11,42682,1.24,PKR,2026-05-12
252,21,High,12,31232,0.85,PKR,2026-05-12
253,22,High,1,46594,1.28,PKR,2026-05-12
254,22,Medium,2,30552,1.37,PKR,2026-05-12
255,22,Medium,3,17541,1.08,PKR,2026-05-12
256,22,Medium,4,36715,1.05,PKR,2026-05-12
257,22,Medium,5,12264,0.84,PKR,2026-05-12
258,22,High,6,20529,0.83,PKR,2026-05-12
259,22,Low,7,6147,0.89,PKR,2026-05-12
260,22,Medium,8,9706,1.03,PKR,2026-05-12
261,22,Low,9,31858,0.87,PKR,2026-05-12
262,22,Low,10,36561,0.98,PKR,2026-05-12
263,22,High,11,32004,1.45,PKR,2026-05-12
264,22,Medium,12,11174,0.83,PKR,2026-05-12
265,23,Low,1,14960,1.36,PKR,2026-05-12
266,23,Low,2,27864,1.29,PKR,2026-05-12
267,23,Medium,3,13960,1.1,PKR,2026-05-12
268,23,High,4,44503,1.38,PKR,2026-05-12
269,23,High,5,31163,1.45,PKR,2026-05-12
270,23,Medium,6,10275,1.04,PKR,2026-05-12
271,23,Medium,7,47599,1.47,PKR,2026-05-12
272,23,Low,8,23614,1.17,PKR,2026-05-12
273,23,Medium,9,25131,1.42,PKR,2026-05-12
274,23,Low,10,16041,1.07,PKR,2026-05-12
275,23,Medium,11,44591,1.31,PKR,2026-05-12
276,23,Low,12,33240,1.47,PKR,2026-05-12
277,24,Low,1,42309,1.35,PKR,2026-05-12
278,24,High,2,28391,1.14,PKR,2026-05-12
279,24,Low,3,47615,1.25,PKR,2026-05-12
280,24,Medium,4,22951,1.23,PKR,2026-05-12
281,24,Low,5,48976,1.47,PKR,2026-05-12
282,24,Medium,6,30180,1.0,PKR,2026-05-12
283,24,Low,7,43620,1.4,PKR,2026-05-12
284,24,Medium,8,9655,0.98,PKR,2026-05-12
285,24,High,9,33602,1.28,PKR,2026-05-12
286,24,Low,10,30785,1.06,PKR,2026-05-12
287,24,Low,11,42272,0.95,PKR,2026-05-12
288,24,Medium,12,5085,0.82,PKR,2026-05-12
289,25,Low,1,20711,0.93,PKR,2026-05-12
290,25,Low,2,49220,1.33,PKR,2026-05-12
291,25,Low,3,18442,1.31,PKR,2026-05-12
292,25,High,4,38959,1.32,PKR,2026-05-12
293,25,Low,5,20870,0.97,PKR,2026-05-12
294,25,Low,6,10921,1.18,PKR,2026-05-12
295,25,Medium,7,37356,1.45,PKR,2026-05-12
296,25,Low,8,29256,1.45,PKR,2026-05-12
297,25,Low,9,35671,1.18,PKR,2026-05-12
298,25,Low,10,44284,1.0,PKR,2026-05-12
299,25,High,11,11157,1.3,PKR,2026-05-12
300,25,Medium,12,44347,1.28,PKR,2026-05-12
301,26,Low,1,23105,1.45,PKR,2026-05-12
302,26,High,2,32995,1.03,PKR,2026-05-12
303,26,High,3,48694,0.89,PKR,2026-05-12
304,26,Low,4,18077,1.35,PKR,2026-05-12
305,26,High,5,25805,0.99,PKR,2026-05-12
306,26,Medium,6,27295,1.17,PKR,2026-05-12
307,26,Medium,7,44811,1.37,PKR,2026-05-12
308,26,Medium,8,30881,1.05,PKR,2026-05-12
309,26,Low,9,29110,1.05,PKR,2026-05-12
310,26,Medium,10,21620,1.33,PKR,2026-05-12
311,26,Low,11,39567,0.83,PKR,2026-05-12
312,26,High,12,37899,1.44,PKR,2026-05-12
313,27,Low,1,31610,1.33,PKR,2026-05-12
314,27,Low,2,37630,1.21,PKR,2026-05-12
315,27,High,3,39226,1.31,PKR,2026-05-12
316,27,Low,4,27989,1.13,PKR,2026-05-12
317,27,Medium,5,11861,0.94,PKR,2026-05-12
318,27,High,6,9718,1.36,PKR,2026-05-12
319,27,Medium,7,9484,1.25,PKR,2026-05-12
320,27,Medium,8,40080,1.1,PKR,2026-05-12
321,27,High,9,37908,1.29,PKR,2026-05-12
322,27,High,10,45544,1.45,PKR,2026-05-12
323,27,Low,11,36340,0.84,PKR,2026-05-12
324,27,Medium,12,37136,1.46,PKR,2026-05-12
325,28,Low,1,41228,1.43,PKR,2026-05-12
326,28,Medium,2,14348,0.91,PKR,2026-05-12
327,28,Low,3,6307,1.44,PKR,2026-05-12
328,28,Low,4,7852,1.45,PKR,2026-05-12
329,28,Low,5,31247,1.0,PKR,2026-05-12
330,28,Medium,6,49174,1.0,PKR,2026-05-12
331,28,Low,7,24004,1.14,PKR,2026-05-12
332,28,Medium,8,17758,1.3,PKR,2026-05-12
333,28,High,9,41792,1.06,PKR,2026-05-12
334,28,Medium,10,21404,1.38,PKR,2026-05-12
335,28,Low,11,28671,1.47,PKR,2026-05-12
336,28,High,12,48542,1.29,PKR,2026-05-12
337,29,Low,1,44895,0.84,PKR,2026-05-12
338,29,High,2,31441,1.44,PKR,2026-05-12
339,29,High,3,35079,1.43,PKR,2026-05-12
340,29,High,4,10079,1.23,PKR,2026-05-12
341,29,High,5,39421,0.8,PKR,2026-05-12
342,29,Low,6,49342,0.95,PKR,2026-05-12
343,29,Low,7,19066,1.47,PKR,2026-05-12
344,29,Medium,8,20548,1.16,PKR,2026-05-12
345,29,High,9,21151,1.02,PKR,2026-05-12
346,29,Medium,10,24900,1.36,PKR,2026-05-12
347,29,High,11,35870,0.84,PKR,2026-05-12
348,29,Medium,12,12516,0.86,PKR,2026-05-12
349,30,Low,1,18322,1.21,PKR,2026-05-12
350,30,Medium,2,5152,1.11,PKR,2026-05-12
351,30,Medium,3,20503,0.97,PKR,2026-05-12
352,30,Medium,4,16734,0.91,PKR,2026-05-12
353,30,High,5,47396,1.42,PKR,2026-05-12
354,30,Low,6,26905,1.02,PKR,2026-05-12
355,30,Low,7,44606,1.42,PKR,2026-05-12
356,30,Low,8,19464,1.48,PKR,2026-05-12
357,30,High,9,17653,1.49,PKR,2026-05-12
358,30,High,10,12078,1.27,PKR,2026-05-12
359,30,Low,11,31264,0.87,PKR,2026-05-12
360,30,Medium,12,29377,0.94,PKR,2026-05-12
361,31,Medium,1,37461,1.1,PKR,2026-05-12
362,31,High,2,35808,0.88,PKR,2026-05-12
363,31,Medium,3,21586,1.14,PKR,2026-05-12
364,31,High,4,8740,0.88,PKR,2026-05-12
365,31,Low,5,49855,1.04,PKR,2026-05-12
366,31,High,6,22114,0.9,PKR,2026-05-12
367,31,Low,7,13687,1.49,PKR,2026-05-12
368,31,Medium,8,48622,1.25,PKR,2026-05-12
369,31,Medium,9,7575,1.47,PKR,2026-05-12
370,31,Medium,10,34570,0.82,PKR,2026-05-12
371,31,Medium,11,15094,1.41,PKR,2026-05-12
372,31,High,12,35651,1.3,PKR,2026-05-12
373,32,Medium,1,41743,1.23,PKR,2026-05-12
374,32,Medium,2,43168,1.34,PKR,2026-05-12
375,32,Medium,3,45159,1.22,PKR,2026-05-12
376,32,Medium,4,16766,1.23,PKR,2026-05-12
377,32,Low,5,20848,1.15,PKR,2026-05-12
378,32,Low,6,20759,1.45,PKR,2026-05-12
379,32,Low,7,8590,1.23,PKR,2026-05-12
380,32,Low,8,38085,1.41,PKR,2026-05-12
381,32,Low,9,5640,1.07,PKR,2026-05-12
382,32,High,10,47430,1.05,PKR,2026-05-12
383,32,Medium,11,46011,0.81,PKR,2026-05-12
384,32,Low,12,16814,1.38,PKR,2026-05-12
385,33,Low,1,13479,0.84,PKR,2026-05-12
386,33,High,2,11357,1.07,PKR,2026-05-12
387,33,Low,3,19567,1.0,PKR,2026-05-12
388,33,High,4,33684,0.99,PKR,2026-05-12
389,33,Low,5,12670,0.91,PKR,2026-05-12
390,33,High,6,7666,1.0,PKR,2026-05-12
391,33,Low,7,46247,1.48,PKR,2026-05-12
392,33,Medium,8,27608,1.21,PKR,2026-05-12
393,33,Medium,9,36421,1.02,PKR,2026-05-12
394,33,Medium,10,39602,1.48,PKR,2026-05-12
395,33,Low,11,25735,0.8,PKR,2026-05-12
396,33,Low,12,34228,1.22,PKR,2026-05-12
397,34,Low,1,20411,0.9,PKR,2026-05-12
398,34,Low,2,5554,1.36,PKR,2026-05-12
399,34,Medium,3,42598,1.23,PKR,2026-05-12
400,34,Low,4,14003,1.19,PKR,2026-05-12
401,34,Low,5,13509,1.39,PKR,2026-05-12
402,34,High,6,23932,1.14,PKR,2026-05-12
403,34,Low,7,43867,1.48,PKR,2026-05-12
404,34,Medium,8,40031,0.96,PKR,2026-05-12
405,34,Low,9,7790,1.11,PKR,2026-05-12
406,34,Medium,10,32245,0.83,PKR,2026-05-12
407,34,Low,11,41269,1.36,PKR,2026-05-12
408,34,Low,12,39890,1.05,PKR,2026-05-12
409,35,Medium,1,25517,1.19,PKR,2026-05-12
410,35,Medium,2,18961,1.36,PKR,2026-05-12
411,35,Medium,3,34456,1.19,PKR,2026-05-12
412,35,Low,4,18930,1.21,PKR,2026-05-12
413,35,High,5,6709,1.15,PKR,2026-05-12
414,35,High,6,8990,1.2,PKR,2026-05-12
415,35,High,7,41604,1.28,PKR,2026-05-12
416,35,Medium,8,9523,1.05,PKR,2026-05-12
417,35,Low,9,34319,1.41,PKR,2026-05-12
418,35,Medium,10,34210,1.36,PKR,2026-05-12
419,35,Low,11,39662,1.3,PKR,2026-05-12
420,35,Low,12,12484,1.28,PKR,2026-05-12
421,36,High,1,8356,1.43,PKR,2026-05-12
422,36,Low,2,8074,1.33,PKR,2026-05-12
423,36,Low,3,35858,1.46,PKR,2026-05-12
424,36,High,4,19189,1.07,PKR,2026-05-12
425,36,Low,5,42559,1.2,PKR,2026-05-12
426,36,Low,6,6012,1.22,PKR,2026-05-12
427,36,Medium,7,41324,1.12,PKR,2026-05-12
428,36,Medium,8,31301,1.49,PKR,2026-05-12
429,36,High,9,17159,1.38,PKR,2026-05-12
430,36,High,10,43310,0.99,PKR,2026-05-12
431,36,Medium,11,23232,1.14,PKR,2026-05-12
432,36,High,12,18024,1.19,PKR,2026-05-12
433,37,Low,1,18599,1.3,PKR,2026-05-12
434,37,High,2,14584,1.13,PKR,2026-05-12
435,37,Low,3,26223,1.22,PKR,2026-05-12
436,37,High,4,36361,1.3,PKR,2026-05-12
437,37,Low,5,17003,0.85,PKR,2026-05-12
438,37,Medium,6,17215,1.23,PKR,2026-05-12
439,37,Medium,7,48228,1.46,PKR,2026-05-12
440,37,Low,8,21001,0.81,PKR,2026-05-12
441,37,Medium,9,45407,0.83,PKR,2026-05-12
442,37,High,10,33206,1.02,PKR,2026-05-12
443,37,Low,11,46951,1.05,PKR,2026-05-12
444,37,Medium,12,26997,1.13,PKR,2026-05-12
445,38,Medium,1,48560,1.32,PKR,2026-05-12
446,38,Low,2,48099,1.44,PKR,2026-05-12
447,38,Low,3,35337,0.95,PKR,2026-05-12
448,38,Medium,4,27058,1.06,PKR,2026-05-12
449,38,High,5,44430,1.48,PKR,2026-05-12
450,38,High,6,14110,1.26,PKR,2026-05-12
451,38,Low,7,20384,1.08,PKR,2026-05-12
452,38,Low,8,31246,1.07,PKR,2026-05-12
453,38,Low,9,49100,1.22,PKR,2026-05-12
454,38,Medium,10,34541,1.38,PKR,2026-05-12
455,38,Medium,11,15556,1.32,PKR,2026-05-12
456,38,Medium,12,21927,1.31,PKR,2026-05-12
457,39,Low,1,19410,1.02,PKR,2026-05-12
458,39,Low,2,42080,1.33,PKR,2026-05-12
459,39,Low,3,45596,1.27,PKR,2026-05-12
460,39,Medium,4,33632,0.94,PKR,2026-05-12
461,39,Medium,5,34842,1.33,PKR,2026-05-12
462,39,High,6,32436,1.34,PKR,2026-05-12
463,39,High,7,13896,0.85,PKR,2026-05-12
464,39,Medium,8,32450,0.8,PKR,2026-05-12
465,39,Medium,9,48469,1.37,PKR,2026-05-12
466,39,High,10,17002,1.17,PKR,2026-05-12
467,39,High,11,26026,1.18,PKR,2026-05-12
468,39,High,12,34763,0.85,PKR,2026-05-12
469,40,Low,1,25038,1.14,PKR,2026-05-12
470,40,Low,2,40371,1.04,PKR,2026-05-12
471,40,Medium,3,46352,1.05,PKR,2026-05-12
472,40,Low,4,49088,1.04,PKR,2026-05-12
473,40,High,5,12571,0.88,PKR,2026-05-12
474,40,Medium,6,44974,0.96,PKR,2026-05-12
475,40,High,7,41888,1.07,PKR,2026-05-12
476,40,Low,8,42605,1.26,PKR,2026-05-12
477,40,Medium,9,46845,1.07,PKR,2026-05-12
478,40,Medium,10,41235,1.05,PKR,2026-05-12
479,40,Medium,11,36507,1.15,PKR,2026-05-12
480,40,Medium,12,12739,1.19,PKR,2026-05-12
481,41,Low,1,25140,1.37,PKR,2026-05-12
482,41,Low,2,20545,1.08,PKR,2026-05-12
483,41,Medium,3,16158,1.48,PKR,2026-05-12
