PromotionID,DestinationID,PromoCode,DiscountPercent,StartDate,EndDate,MinBookingValue,MaxUses,CurrentUses
1,3,PROMO1,5,2026-05-12,2026-08-08,41962,281,53
2,67,PROMO2,20,2026-05-12,2026-07-29,40385,629,12
3,10,PROMO3,5,2026-05-12,2026-06-02,48910,833,5
4,8,PROMO4,25,2026-05-12,2026-07-16,42097,474,82
5,11,PROMO5,5,2026-05-12,2026-08-04,18239,210,40
6,76,PROMO6,15,2026-05-12,2026-08-05,15193,666,60
7,88,PROMO7,10,2026-05-12,2026-05-20,46308,943,9
8,80,PROMO8,20,2026-05-12,2026-06-26,48520,932,65
9,12,PROMO9,20,2026-05-12,2026-08-07,20931,587,84
10,45,PROMO10,20,2026-05-12,2026-06-21,39424,973,44
11,30,PROMO11,25,2026-05-12,2026-08-04,48253,594,88
12,64,PROMO12,25,2026-05-12,2026-07-11,20277,160,94
13,71,PROMO13,5,2026-05-12,2026-06-08,23859,612,21
14,50,PROMO14,5,2026-05-12,2026-05-24,32439,180,60
15,86,PROMO15,20,2026-05-12,2026-06-15,44769,234,48
16,70,PROMO16,20,2026-05-12,2026-06-11,17062,991,94
17,36,PROMO17,25,2026-05-12,2026-07-17,17986,419,70
18,1,PROMO18,5,2026-05-12,2026-07-27,13801,311,60
19,93,PROMO19,25,2026-05-12,2026-06-07,36036,242,28
20,34,PROMO20,5,2026-05-12,2026-07-19,44319,409,96
21,68,PROMO21,20,2026-05-12,2026-05-28,44311,481,84
22,20,PROMO22,10,2026-05-12,2026-06-24,28385,999,83
23,79,PROMO23,10,2026-05-12,2026-08-09,47088,378,8
24,29,PROMO24,25,2026-05-12,2026-07-02,29631,884,15
25,77,PROMO25,25,2026-05-12,2026-07-05,28782,804,91
26,33,PROMO26,5,2026-05-12,2026-06-20,40825,840,3
27,81,PROMO27,5,2026-05-12,2026-06-20,39129,998,44
28,53,PROMO28,25,2026-05-12,2026-07-21,29016,412,39
29,75,PROMO29,15,2026-05-12,2026-07-03,30887,600,9
30,21,PROMO30,15,2026-05-12,2026-07-25,29512,346,43
31,62,PROMO31,5,2026-05-12,2026-08-01,39743,944,26
32,47,PROMO32,20,2026-05-12,2026-07-17,23891,596,33
33,7,PROMO33,25,2026-05-12,2026-05-25,40889,807,52
34,28,PROMO34,25,2026-05-12,2026-06-13,30428,290,45
35,74,PROMO35,25,2026-05-12,2026-08-07,47035,775,40
36,60,PROMO36,10,2026-05-12,2026-06-14,17237,197,40
37,96,PROMO37,25,2026-05-12,2026-07-14,36012,477,11
38,31,PROMO38,5,2026-05-12,2026-06-21,32858,379,81
39,19,PROMO39,10,2026-05-12,2026-05-23,41454,956,52
40,78,PROMO40,5,2026-05-12,2026-06-15,30672,912,65
41,6,PROMO41,5,2026-05-12,2026-06-27,39377,735,90
42,23,PROMO42,15,2026-05-12,2026-06-04,30721,585,30
43,52,PROMO43,25,2026-05-12,2026-07-17,21864,575,18
44,97,PROMO44,25,2026-05-12,2026-06-29,20872,854,99
45,91,PROMO45,25,2026-05-12,2026-08-03,10272,981,93
46,35,PROMO46,10,2026-05-12,2026-07-06,13576,486,76
47,61,PROMO47,25,2026-05-12,2026-06-22,11281,914,2
48,84,PROMO48,25,2026-05-12,2026-07-31,38947,517,78
49,95,PROMO49,25,2026-05-12,2026-07-22,22094,667,31
50,9,PROMO50,10,2026-05-12,2026-06-28,13187,311,86
51,94,PROMO51,15,2026-05-12,2026-05-30,24034,957,87
52,92,PROMO52,5,2026-05-12,2026-06-16,26356,959,60
53,55,PROMO53,25,2026-05-12,2026-07-21,16870,214,3
54,49,PROMO54,25,2026-05-12,2026-06-15,12982,975,63
55,87,PROMO55,20,2026-05-12,2026-06-07,26411,735,95
56,5,PROMO56,25,2026-05-12,2026-08-01,13622,333,57
57,89,PROMO57,5,2026-05-12,2026-05-21,22201,498,2
58,43,PROMO58,25,2026-05-12,2026-06-22,18582,961,23
59,38,PROMO59,25,2026-05-12,2026-06-18,45405,947,3
60,2,PROMO60,15,2026-05-12,2026-05-27,24453,566,87
61,48,PROMO61,20,2026-05-12,2026-05-29,19123,224,94
62,42,PROMO62,10,2026-05-12,2026-07-07,34834,166,84
63,32,PROMO63,15,2026-05-12,2026-07-19,38950,222,76
64,100,PROMO64,5,2026-05-12,2026-06-05,21532,992,55
65,90,PROMO65,10,2026-05-12,2026-07-02,46391,970,30
66,54,PROMO66,5,2026-05-12,2026-06-19,32144,390,35
67,56,PROMO67,15,2026-05-12,2026-07-23,32058,886,63
68,39,PROMO68,20,2026-05-12,2026-06-18,43247,896,72
69,40,PROMO69,10,2026-05-12,2026-08-02,24302,437,91
70,98,PROMO70,10,2026-05-12,2026-06-08,47512,261,33
71,16,PROMO71,20,2026-05-12,2026-07-03,47742,873,62
72,18,PROMO72,25,2026-05-12,2026-07-21,14667,622,3
73,73,PROMO73,25,2026-05-12,2026-06-02,38784,363,87
74,99,PROMO74,15,2026-05-12,2026-06-10,38910,720,6
75,57,PROMO75,25,2026-05-12,2026-06-19,30187,783,2
76,69,PROMO76,10,2026-05-12,2026-07-01,43330,416,50
77,17,PROMO77,5,2026-05-12,2026-06-07,30344,399,85
78,27,PROMO78,25,2026-05-12,2026-06-08,49604,211,10
79,13,PROMO79,10,2026-05-12,2026-06-22,40617,478,43
80,83,PROMO80,20,2026-05-12,2026-07-31,18376,906,79
81,65,PROMO81,10,2026-05-12,2026-06-28,17490,581,88
82,63,PROMO82,10,2026-05-12,2026-06-23,35091,845,73
83,66,PROMO83,25,2026-05-12,2026-07-27,30123,477,36
84,24,PROMO84,10,2026-05-12,2026-05-30,44128,723,29
85,4,PROMO85,5,2026-05-12,2026-06-23,32871,329,20
86,14,PROMO86,10,2026-05-12,2026-06-19,34313,674,81
87,37,PROMO87,25,2026-05-12,2026-06-24,14497,587,45
88,22,PROMO88,10,2026-05-12,2026-05-23,12692,386,27
89,85,PROMO89,5,2026-05-12,2026-08-03,31118,804,87
90,44,PROMO90,25,2026-05-12,2026-06-05,14252,767,44
91,41,PROMO91,25,2026-05-12,2026-05-29,42562,158,83
92,26,PROMO92,5,2026-05-12,2026-05-31,40254,699,42
93,59,PROMO93,5,2026-05-12,2026-07-26,43791,921,93
94,58,PROMO94,5,2026-05-12,2026-08-04,34713,861,21
95,15,PROMO95,25,2026-05-12,2026-08-07,15696,753,43
96,82,PROMO96,15,2026-05-12,2026-07-22,13325,603,44
97,25,PROMO97,5,2026-05-12,2026-06-09,18993,917,53
98,51,PROMO98,10,2026-05-12,2026-07-19,18787,126,63
99,72,PROMO99,15,2026-05-12,2026-05-29,29735,384,68
100,46,PROMO100,5,2026-05-12,2026-05-26,27475,332,98
