ReviewID,DestinationID,UserID,Rating,ReviewText
1,199,116,2,Beautiful location!
2,510,181,2,Incredible monument!
3,56,661,3,Breathtaking views!
4,215,446,3,Must visit place!
5,632,825,4,Incredible monument!
6,107,759,1,Highly recommended!
7,181,162,1,Beautiful location!
8,528,119,1,Amazing experience!
9,739,456,5,Loved every moment!
10,334,430,2,Must visit place!
11,236,798,1,Must visit place!
12,234,101,2,Truly unforgettable!
13,891,205,4,Amazing experience!
14,76,483,5,Beautiful location!
15,56,912,4,A historical wonder
16,222,951,5,Beautiful location!
17,183,397,3,A historical wonder
18,469,738,2,Must visit place!
19,999,277,2,Must visit place!
20,131,33,5,Incredible monument!
21,288,140,1,Beautiful location!
22,470,429,2,Must visit place!
23,226,908,3,Loved every moment!
24,161,809,5,A historical wonder
25,592,994,5,Amazing experience!
26,89,422,5,Beautiful location!
27,883,222,5,Beautiful location!
28,858,474,3,Incredible monument!
29,748,439,2,Amazing experience!
30,336,445,5,Amazing experience!
31,914,950,5,A historical wonder
32,936,588,1,Truly unforgettable!
33,46,42,4,Highly recommended!
34,35,436,5,Truly unforgettable!
35,491,830,1,Beautiful location!
36,508,247,1,Highly recommended!
37,772,13,4,Amazing experience!
38,136,368,3,Amazing experience!
39,664,93,1,Beautiful location!
40,686,313,2,Beautiful location!
41,879,585,5,Incredible monument!
42,1000,466,4,A historical wonder
43,896,721,4,A historical wonder
44,809,893,3,Beautiful location!
45,721,649,1,Loved the scenery!
46,395,915,3,Highly recommended!
47,34,304,4,Breathtaking views!
48,715,969,5,Highly recommended!
49,590,814,2,Loved the scenery!
50,636,902,3,Incredible monument!
51,528,969,3,Incredible monument!
52,114,393,3,Beautiful location!
53,634,42,3,Must visit place!
54,180,664,5,Loved the scenery!
55,575,727,2,A historical wonder
56,343,245,5,Loved the scenery!
57,665,490,5,Amazing experience!
58,772,763,2,Must visit place!
59,362,920,3,Highly recommended!
60,697,434,3,Incredible monument!
61,65,382,3,Beautiful location!
62,498,514,5,Loved the scenery!
63,482,727,5,Highly recommended!
64,922,300,4,Loved every moment!
65,377,820,1,Amazing experience!
66,914,906,4,Loved the scenery!
67,83,401,2,Breathtaking views!
68,982,980,1,Loved the scenery!
69,169,283,1,A historical wonder
70,509,155,2,Highly recommended!
71,975,643,1,Breathtaking views!
72,427,993,5,A historical wonder
73,486,356,4,Beautiful location!
74,756,661,1,Breathtaking views!
75,194,65,1,Amazing experience!
76,855,971,5,Must visit place!
77,422,593,3,Must visit place!
78,498,608,5,Highly recommended!
79,456,469,3,Loved every moment!
80,136,920,3,A historical wonder
81,809,267,2,Beautiful location!
82,381,995,3,Incredible monument!
83,152,362,3,Beautiful location!
84,980,171,5,A historical wonder
85,729,549,3,A historical wonder
86,997,180,2,A historical wonder
87,244,120,1,Must visit place!
88,589,130,4,Breathtaking views!
89,379,189,2,Highly recommended!
90,725,36,3,Must visit place!
91,152,382,4,Highly recommended!
92,999,167,5,Breathtaking views!
93,125,943,1,Truly unforgettable!
94,954,512,2,Beautiful location!
95,951,328,2,Incredible monument!
96,994,757,5,Highly recommended!
97,340,663,3,Beautiful location!
98,918,297,5,A historical wonder
99,819,579,4,Must visit place!
100,706,116,4,Incredible monument!
101,143,695,5,Loved the scenery!
102,316,26,4,Loved every moment!
103,862,226,4,Must visit place!
104,95,335,1,Loved every moment!
105,657,200,5,Highly recommended!
106,228,801,3,Amazing experience!
107,24,86,5,Beautiful location!
108,694,688,1,Highly recommended!
109,404,200,4,Must visit place!
110,618,620,5,Incredible monument!
111,931,683,3,Truly unforgettable!
112,152,734,4,Must visit place!
113,396,382,1,Breathtaking views!
114,354,360,3,Beautiful location!
115,896,575,1,Amazing experience!
116,746,910,4,Truly unforgettable!
117,823,454,3,A historical wonder
118,826,746,4,Truly unforgettable!
119,143,856,5,Loved every moment!
120,89,148,2,Breathtaking views!
121,487,889,5,Must visit place!
122,68,956,5,Truly unforgettable!
123,91,7,4,Breathtaking views!
124,425,180,5,Beautiful location!
125,728,582,2,Amazing experience!
126,191,853,4,Breathtaking views!
127,568,503,1,Breathtaking views!
128,855,600,3,Beautiful location!
129,573,758,4,Amazing experience!
130,28,811,1,A historical wonder
131,269,308,4,Loved the scenery!
132,670,682,3,Truly unforgettable!
133,184,504,2,Incredible monument!
134,123,784,3,Beautiful location!
135,994,69,5,Must visit place!
136,596,493,5,Truly unforgettable!
137,890,265,4,Loved the scenery!
138,383,525,5,Incredible monument!
139,866,266,2,Loved every moment!
140,60,150,3,Beautiful location!
141,900,710,2,Must visit place!
142,168,55,3,Must visit place!
143,430,652,3,Incredible monument!
144,297,299,5,Loved the scenery!
145,527,199,2,Loved the scenery!
146,614,771,2,Highly recommended!
147,331,894,3,Breathtaking views!
148,278,702,3,Loved the scenery!
149,548,594,3,A historical wonder
150,14,141,5,Breathtaking views!
151,382,798,4,Truly unforgettable!
152,349,944,2,Loved the scenery!
153,224,159,5,Amazing experience!
154,852,193,5,Loved every moment!
155,707,852,5,Highly recommended!
156,730,565,1,Truly unforgettable!
157,472,939,1,Loved the scenery!
158,839,135,1,Beautiful location!
159,357,320,3,A historical wonder
160,837,453,5,Highly recommended!
161,782,994,3,A historical wonder
162,727,312,1,Loved the scenery!
163,228,132,2,Amazing experience!
164,315,129,2,A historical wonder
165,81,436,1,Loved the scenery!
166,20,794,4,Truly unforgettable!
167,44,202,1,Incredible monument!
168,813,676,5,Loved every moment!
169,61,481,1,Breathtaking views!
170,45,68,3,Incredible monument!
171,773,99,1,Loved every moment!
172,211,602,2,A historical wonder
173,687,360,1,Loved the scenery!
174,150,867,3,Loved every moment!
175,357,361,2,Highly recommended!
176,800,747,5,Amazing experience!
177,518,584,1,Loved the scenery!
178,840,593,1,Highly recommended!
179,223,733,2,Breathtaking views!
180,176,924,5,Incredible monument!
181,997,743,1,Amazing experience!
182,943,517,4,Must visit place!
183,715,604,2,Beautiful location!
184,690,981,1,A historical wonder
185,855,364,4,Truly unforgettable!
186,220,527,2,Truly unforgettable!
187,116,780,3,Loved the scenery!
188,478,113,5,A historical wonder
189,508,781,3,Breathtaking views!
190,571,740,1,Loved the scenery!
191,336,506,1,Truly unforgettable!
192,291,468,5,Breathtaking views!
193,704,862,4,Amazing experience!
194,568,418,3,Truly unforgettable!
195,194,878,1,Beautiful location!
196,962,696,3,A historical wonder
197,14,691,4,Loved the scenery!
198,406,449,5,Loved the scenery!
199,123,147,4,Truly unforgettable!
200,712,605,1,A historical wonder
201,67,373,2,Must visit place!
202,206,610,4,Loved the scenery!
203,239,859,4,Beautiful location!
204,286,784,5,Loved every moment!
205,280,775,4,Must visit place!
206,488,683,5,Truly unforgettable!
207,497,524,3,A historical wonder
208,787,466,1,Loved the scenery!
209,257,502,4,Amazing experience!
210,644,966,2,Incredible monument!
211,102,756,1,Loved the scenery!
212,511,695,1,A historical wonder
213,392,620,3,A historical wonder
214,311,637,5,Loved the scenery!
215,779,79,5,Beautiful location!
216,812,478,2,Breathtaking views!
217,678,510,4,Highly recommended!
218,268,556,3,Highly recommended!
219,560,19,1,Truly unforgettable!
220,902,937,1,Truly unforgettable!
221,461,323,4,Beautiful location!
222,471,37,1,A historical wonder
223,571,676,3,A historical wonder
224,504,442,2,Breathtaking views!
225,733,399,4,Loved the scenery!
226,583,692,4,Highly recommended!
227,702,553,5,Beautiful location!
228,488,576,2,Highly recommended!
229,58,401,3,Beautiful location!
230,606,995,4,Loved every moment!
231,693,362,3,Must visit place!
232,63,29,5,Incredible monument!
233,132,858,3,Must visit place!
234,829,760,5,Incredible monument!
235,784,913,3,Truly unforgettable!
236,100,439,3,Must visit place!
237,422,360,1,Amazing experience!
238,254,241,3,Loved every moment!
239,87,933,1,Breathtaking views!
240,118,346,2,Incredible monument!
241,552,334,1,Beautiful location!
242,674,885,4,Loved every moment!
243,528,924,4,Breathtaking views!
244,21,713,4,Loved every moment!
245,23,325,4,Loved every moment!
246,400,331,5,Loved the scenery!
247,828,501,1,Amazing experience!
248,345,509,5,Must visit place!
249,171,630,3,Must visit place!
250,993,447,2,Beautiful location!
251,651,868,1,Highly recommended!
252,220,295,3,Incredible monument!
253,305,588,4,Amazing experience!
254,640,761,1,Loved every moment!
255,98,607,3,Breathtaking views!
256,69,581,5,Beautiful location!
257,438,215,3,Loved the scenery!
258,668,844,3,Highly recommended!
259,824,308,4,Highly recommended!
260,321,205,4,Truly unforgettable!
261,258,640,5,Beautiful location!
262,688,782,5,A historical wonder
263,903,20,5,A historical wonder
264,591,512,2,Beautiful location!
265,275,960,5,Loved every moment!
266,874,788,4,Loved every moment!
267,745,642,1,Highly recommended!
268,206,374,4,A historical wonder
269,247,155,3,Truly unforgettable!
270,421,327,1,Amazing experience!
271,867,423,3,Breathtaking views!
272,662,165,3,Loved every moment!
273,242,416,2,Loved the scenery!
274,154,197,1,Amazing experience!
275,817,848,3,Beautiful location!
276,498,574,4,Truly unforgettable!
277,663,928,1,Amazing experience!
278,164,280,2,Incredible monument!
279,265,809,3,Highly recommended!
280,181,660,1,Beautiful location!
281,802,21,1,Loved the scenery!
282,322,617,3,Loved the scenery!
283,923,979,4,Must visit place!
284,688,674,1,Truly unforgettable!
285,966,860,2,Amazing experience!
286,115,585,5,Loved the scenery!
287,535,681,5,Highly recommended!
288,258,509,1,Amazing experience!
289,615,126,3,Must visit place!
290,853,599,4,Amazing experience!
291,958,434,2,A historical wonder
292,110,180,2,Breathtaking views!
293,451,419,3,Loved every moment!
294,58,503,5,Must visit place!
295,717,972,1,Must visit place!
296,559,434,4,Amazing experience!
297,987,285,2,Must visit place!
298,487,733,3,Breathtaking views!
299,22,661,5,Incredible monument!
300,862,758,1,Amazing experience!
301,260,566,4,Breathtaking views!
302,655,982,3,Loved the scenery!
303,548,888,2,Beautiful location!
304,398,9,4,Breathtaking views!
305,309,93,2,Breathtaking views!
306,216,881,2,Beautiful location!
307,647,325,4,Incredible monument!
308,281,888,1,Beautiful location!
309,483,755,4,Must visit place!
310,735,433,1,A historical wonder
311,716,268,5,Loved the scenery!
312,361,431,5,Highly recommended!
313,756,335,4,Incredible monument!
314,781,54,2,Beautiful location!
315,811,657,2,Incredible monument!
316,411,205,3,Must visit place!
317,590,85,1,A historical wonder
318,256,529,2,Loved every moment!
319,703,421,3,Beautiful location!
320,490,895,2,Breathtaking views!
321,178,704,5,Must visit place!
322,819,289,2,Loved the scenery!
323,425,377,2,Truly unforgettable!
324,898,387,5,Amazing experience!
325,22,971,1,Highly recommended!
326,663,627,2,Loved the scenery!
327,998,474,2,Breathtaking views!
328,719,873,2,Incredible monument!
329,411,633,4,Loved every moment!
330,267,153,1,Must visit place!
331,175,970,5,Loved the scenery!
332,15,736,5,Truly unforgettable!
333,792,943,4,Beautiful location!
334,122,230,2,Amazing experience!
335,969,883,3,Breathtaking views!
336,765,507,4,A historical wonder
337,442,877,2,Loved every moment!
338,221,844,3,Amazing experience!
339,429,185,4,A historical wonder
340,30,298,3,Amazing experience!
341,633,462,2,Must visit place!
342,597,701,4,Loved the scenery!
343,11,481,2,Must visit place!
344,998,710,4,Amazing experience!
345,731,393,4,Loved every moment!
346,263,75,1,Highly recommended!
347,61,54,3,Amazing experience!
348,483,931,3,Loved every moment!
349,962,687,5,Incredible monument!
350,6,260,5,Loved every moment!
351,391,310,4,Must visit place!
352,136,992,5,Incredible monument!
353,595,184,3,A historical wonder
354,516,505,3,Beautiful location!
355,136,92,3,Highly recommended!
356,444,146,3,Loved the scenery!
357,321,46,2,Beautiful location!
358,893,997,3,Must visit place!
359,949,441,3,Breathtaking views!
360,628,850,3,Highly recommended!
