TransportID,DestinationID,Mode,CostPerKM,DurationHours,Company,Availability
1,1,Car Rental,92.87,7.2,Express Travel,Seasonal
2,1,Bus,34.2,4.7,Careem,Daily
3,2,Car Rental,47.02,10.5,Air Blue,Weekly
4,2,Bus,48.48,5.6,Uber,Seasonal
5,3,Flight,36.31,5.6,Express Travel,Daily
6,3,Bus,37.09,6.3,Hertz,Seasonal
7,4,Train,78.8,5.2,Pakistan Railways,Daily
8,4,Bus,33.42,2.3,Hertz,Daily
9,4,Flight,80.79,11.3,Pakistan Railways,Seasonal
10,5,Train,82.53,0.6,Uber,Seasonal
11,5,Bus,56.35,6.7,Hertz,Daily
12,6,Car Rental,37.7,11.0,Hertz,Weekly
13,6,Flight,41.9,6.3,Express Travel,Daily
14,7,Flight,84.6,4.5,Express Travel,Weekly
15,7,Taxi,81.5,10.7,Uber,Seasonal
16,8,Taxi,64.95,2.3,Hertz,Seasonal
17,8,Car Rental,26.13,8.5,Hertz,Daily
18,8,Bus,76.66,10.4,Hertz,Weekly
19,9,Bus,17.52,0.7,Air Blue,Weekly
20,9,Flight,89.35,1.9,Uber,Seasonal
21,9,Taxi,30.01,6.5,Uber,Seasonal
22,10,Bus,96.39,7.6,Hertz,Daily
23,10,Taxi,47.42,5.4,Air Blue,Seasonal
24,10,Car Rental,72.68,8.6,Express Travel,Daily
25,11,Taxi,61.79,0.8,Hertz,Daily
26,11,Car Rental,54.61,11.2,Pakistan Railways,Daily
27,11,Bus,28.56,5.0,Express Travel,Seasonal
28,12,Car Rental,79.88,7.5,Air Blue,Daily
29,12,Taxi,70.59,5.2,Hertz,Daily
30,13,Flight,75.11,6.7,Express Travel,Daily
31,13,Car Rental,83.92,10.2,Air Blue,Seasonal
32,14,Taxi,26.51,10.3,Hertz,Seasonal
33,14,Car Rental,51.97,1.4,Careem,Daily
34,14,Train,82.32,10.9,Pakistan Railways,Weekly
35,15,Car Rental,97.13,1.3,Express Travel,Daily
36,15,Train,16.67,4.8,Hertz,Weekly
37,15,Bus,49.01,12.0,Air Blue,Weekly
38,16,Bus,75.63,7.5,Careem,Seasonal
39,16,Train,43.25,1.0,Air Blue,Seasonal
40,17,Bus,53.56,0.6,Uber,Weekly
