HistoryID,UserID,DestinationID,VisitDate,ExperienceRating
1,306,586,2024-03-05,1
2,334,66,2024-10-02,2
3,416,833,2024-12-24,1
4,404,570,2024-10-01,5
5,501,66,2024-09-22,5
6,552,731,2024-11-29,1
7,772,772,2024-04-16,1
8,186,883,2024-11-02,2
9,6,569,2024-08-16,3
10,126,41,2024-03-06,5
11,212,669,2024-03-23,1
12,576,263,2024-01-18,1
13,128,519,2024-06-01,3
14,990,558,2024-03-28,4
15,968,674,2024-01-01,2
16,308,48,2024-09-22,3
17,675,547,2024-08-15,2
18,591,503,2024-12-21,3
19,536,933,2024-06-29,5
20,552,523,2024-04-17,1
21,679,840,2024-01-23,2
22,38,193,2024-03-13,3
23,877,853,2024-04-20,2
24,617,566,2024-04-20,5
25,368,285,2024-03-06,5
26,433,77,2024-10-08,3
27,267,391,2024-11-28,2
28,410,468,2024-02-12,3
29,693,436,2024-12-21,2
30,549,209,2024-02-06,3
31,649,714,2024-11-26,2
32,732,382,2024-10-15,5
33,620,168,2024-08-02,2
34,324,807,2024-08-10,4
35,27,988,2024-11-05,2
36,80,277,2024-03-04,5
37,113,701,2024-10-07,4
38,68,338,2024-11-23,1
39,372,932,2024-06-19,3
40,150,890,2024-04-25,3
41,11,101,2024-07-12,2
42,388,975,2024-02-23,1
43,180,540,2024-06-05,5
44,842,827,2024-09-07,1
45,542,358,2024-12-24,5
46,887,289,2024-10-09,3
47,623,102,2024-01-25,2
48,326,970,2024-07-18,2
49,354,826,2024-12-13,5
50,565,609,2024-07-25,4
51,607,131,2024-05-12,1
52,704,526,2024-03-20,2
53,147,388,2024-10-17,3
54,55,941,2024-11-23,3
55,725,797,2024-05-07,5
56,429,724,2024-08-22,2
57,450,363,2024-08-27,5
58,294,283,2024-08-07,5
59,965,736,2024-04-27,3
60,651,879,2024-02-14,3
61,417,790,2024-06-09,1
62,650,82,2024-02-09,2
63,968,96,2024-03-25,5
64,59,87,2024-05-26,5
65,952,505,2024-01-06,4
66,694,521,2024-03-10,4
67,510,528,2024-12-16,5
68,715,128,2024-07-26,1
69,632,195,2024-01-04,4
70,720,548,2024-06-25,2
71,757,678,2024-09-27,5
72,44,622,2024-08-17,2
73,691,953,2024-09-25,2
74,180,77,2024-07-06,2
75,527,362,2024-01-27,4
76,508,389,2024-03-28,3
77,994,116,2024-06-22,2
78,852,553,2024-03-01,3
79,307,495,2024-05-30,3
80,219,3,2024-11-19,5
81,404,223,2024-06-05,5
82,846,915,2024-01-19,4
83,914,633,2024-09-06,1
84,365,7,2024-11-11,4
85,337,306,2024-06-30,1
86,6,359,2024-04-05,4
87,364,10,2024-02-21,4
88,504,203,2024-02-13,5
89,527,921,2024-03-19,4
90,127,936,2024-09-06,1
91,160,788,2024-12-02,3
92,232,482,2024-07-21,3
93,307,374,2024-08-07,2
94,550,832,2024-05-17,1
