WeatherID,DestinationID,Month,AvgTemp,MaxTemp,MinTemp,Rainfall,Humidity,WindSpeed,BestForTourism
1,1,Jan,21,26,10,99.1,71,17.0,No
2,1,Feb,28,33,15,483.0,40,13.5,Yes
3,1,Mar,32,27,19,490.8,60,9.3,Yes
4,1,Apr,34,35,23,429.4,34,22.6,Yes
5,1,May,18,26,22,197.4,34,17.1,No
6,1,Jun,32,30,14,70.2,46,28.7,No
7,1,Jul,18,38,24,158.5,43,19.2,Yes
8,1,Aug,23,36,12,453.0,60,6.1,Yes
9,1,Sep,19,30,9,35.1,37,26.2,Yes
10,1,Oct,23,31,12,463.4,44,17.9,Yes
11,1,Nov,33,41,14,253.0,60,18.6,No
12,1,Dec,17,27,22,178.5,49,11.0,Yes
13,2,Jan,29,31,14,430.3,58,28.3,No
14,2,Feb,29,42,8,453.4,32,16.5,Yes
15,2,Mar,15,39,5,415.6,48,17.2,No
16,2,Apr,33,37,16,42.8,42,28.6,Yes
17,2,May,26,44,16,387.7,71,22.4,Yes
18,2,Jun,23,26,11,356.5,73,17.3,Yes
19,2,Jul,22,25,22,374.7,61,21.4,Yes
20,2,Aug,24,28,5,468.6,34,14.3,No
21,2,Sep,21,41,10,360.3,44,5.8,No
22,2,Oct,20,26,21,133.8,33,29.1,Yes
23,2,Nov,16,38,19,265.6,65,18.7,Yes
24,2,Dec,27,36,7,164.8,75,17.7,No
25,3,Jan,18,32,7,280.0,57,24.2,Yes
26,3,Feb,21,33,16,20.0,75,10.3,Yes
27,3,Mar,34,38,12,5.5,33,11.8,Yes
28,3,Apr,20,30,7,52.0,32,20.9,No
29,3,May,32,25,20,320.8,39,26.5,Yes
30,3,Jun,26,36,17,407.9,61,28.4,Yes
31,3,Jul,18,39,16,185.5,50,27.2,Yes
32,3,Aug,23,25,16,224.0,35,15.3,Yes
33,3,Sep,25,27,14,339.4,35,14.6,Yes
34,3,Oct,24,30,21,102.2,43,5.5,Yes
35,3,Nov,16,33,16,7.1,60,26.4,No
36,3,Dec,34,35,16,216.8,48,25.8,No
37,4,Jan,25,39,22,331.4,78,6.8,Yes
38,4,Feb,28,36,7,380.9,69,13.8,Yes
39,4,Mar,31,43,20,313.0,44,20.6,No
40,4,Apr,26,34,18,470.2,60,12.0,No
41,4,May,23,39,18,361.9,38,20.8,Yes
42,4,Jun,22,32,23,45.3,59,28.0,Yes
43,4,Jul,26,40,8,310.8,30,9.7,Yes
44,4,Aug,25,29,22,150.9,47,10.7,No
45,4,Sep,15,42,18,4.0,35,24.4,No
46,4,Oct,30,36,24,19.2,52,12.3,No
47,4,Nov,30,42,12,465.9,32,6.6,Yes
48,4,Dec,20,32,17,421.0,67,11.7,Yes
49,5,Jan,24,41,5,55.3,74,9.7,Yes
50,5,Feb,25,42,7,9.7,34,19.7,No
51,5,Mar,27,30,15,481.4,56,14.0,Yes
52,5,Apr,31,35,19,491.5,46,27.5,No
53,5,May,15,32,9,17.0,37,12.6,Yes
54,5,Jun,29,28,16,337.1,43,20.9,Yes
55,5,Jul,21,39,17,45.0,73,21.6,No
56,5,Aug,27,27,19,122.3,36,24.0,No
57,5,Sep,33,38,24,446.3,69,10.6,No
58,5,Oct,34,42,22,220.2,51,10.6,Yes
59,5,Nov,16,32,15,426.6,42,5.3,Yes
60,5,Dec,31,31,13,205.1,31,15.8,No
61,6,Jan,16,32,22,322.6,43,6.3,Yes
62,6,Feb,22,38,12,254.4,45,6.5,No
63,6,Mar,23,42,7,301.1,44,8.3,Yes
64,6,Apr,22,26,21,289.5,66,5.5,Yes
65,6,May,33,27,21,418.5,75,25.7,No
66,6,Jun,30,28,5,82.3,79,16.6,No
67,6,Jul,32,40,14,84.9,51,23.0,Yes
68,6,Aug,33,25,7,219.0,38,9.4,Yes
69,6,Sep,15,34,21,482.2,44,19.9,Yes
70,6,Oct,29,31,19,160.0,71,15.7,Yes
